"Branch_Code","normal_clid_count","hr_clid_count","lat_1","lon_1","lat_2","lon_2","lat_3","lon_3","lat_4","lon_4"
"potential_100",101,9,47.5544700151764,34.4010425017038,47.5544700151764,34.4100425017038,47.5634700151764,34.4100425017038,47.5634700151764,34.4010425017038
"potential_101",91,8,47.5544537731254,34.4023712630037,47.5544537731254,34.4113712630037,47.5634537731254,34.4113712630037,47.5634537731254,34.4023712630037
"potential_102",70,6,47.554437515684796,34.403700023137404,47.554437515684796,34.412700023137404,47.5634375156848,34.412700023137404,47.5634375156848,34.403700023137404
"potential_106",34,1,47.5556911538731,34.3744905597735,47.5556911538731,34.3834905597735,47.5646911538731,34.3834905597735,47.5646911538731,34.3744905597735
"potential_115",58,2,47.5554828016358,34.3917649627776,47.5554828016358,34.4007649627776,47.5644828016358,34.4007649627776,47.5644828016358,34.3917649627776
"potential_116",72,2,47.5554666668074,34.3930937549372,47.5554666668074,34.4020937549372,47.5644666668074,34.4020937549372,47.5644666668074,34.3930937549372
"potential_117",90,4,47.5554505165888,34.3944225459383,47.5554505165888,34.4034225459383,47.5644505165888,34.4034225459383,47.5644505165888,34.3944225459383
"potential_118",102,7,47.5554343509799,34.3957513357796,47.5554343509799,34.4047513357796,47.5644343509799,34.4047513357796,47.5644343509799,34.3957513357796
"potential_119",109,9,47.5554181699808,34.3970801244602,47.5554181699808,34.4060801244602,47.5644181699808,34.4060801244602,47.5644181699808,34.3970801244602
"potential_120",117,9,47.5554019735915,34.3984089119788,47.5554019735915,34.4074089119788,47.5644019735915,34.4074089119788,47.5644019735915,34.3984089119788
"potential_121",120,8,47.5553857618121,34.3997376983345,47.5553857618121,34.4087376983345,47.5643857618121,34.4087376983345,47.5643857618121,34.3997376983345
"potential_122",107,9,47.5553695346425,34.401066483526,47.5553695346425,34.410066483526,47.5643695346425,34.410066483526,47.5643695346425,34.401066483526
"potential_123",97,8,47.5553532920829,34.4023952675524,47.5553532920829,34.4113952675524,47.5643532920829,34.4113952675524,47.5643532920829,34.4023952675524
"potential_124",77,6,47.5553370341332,34.4037240504125,47.5553370341332,34.4127240504125,47.5643370341332,34.4127240504125,47.5643370341332,34.4037240504125
"potential_125",48,2,47.5553207607935,34.4050528321051,47.5553207607935,34.4140528321051,47.5643207607935,34.4140528321051,47.5643207607935,34.4050528321051
"potential_126",31,2,47.5553044720639,34.406381612629204,47.5553044720639,34.415381612629204,47.5643044720639,34.415381612629204,47.5643044720639,34.406381612629204
"potential_129",32,1,47.5566066031191,34.3731852572028,47.5566066031191,34.3821852572028,47.5656066031191,34.3821852572028,47.5656066031191,34.3731852572028
"potential_130",36,1,47.5565906832598,34.3745140881957,47.5565906832598,34.3835140881957,47.5655906832598,34.3835140881957,47.5655906832598,34.3745140881957
"potential_131",33,1,47.5565747480092,34.3758429180455,47.5565747480092,34.3848429180455,47.5655747480092,34.3848429180455,47.5655747480092,34.3758429180455
"potential_140",34,0,47.5564306381538,34.3878023350667,47.5564306381538,34.3968023350667,47.5654306381538,34.3968023350667,47.5654306381538,34.3878023350667
"potential_141",45,0,47.5564145489927,34.3891311534237,47.5564145489927,34.3981311534237,47.5654145489927,34.3981311534237,47.5654145489927,34.3891311534237
"potential_142",53,2,47.5563984444407,34.3904599706253,47.5563984444407,34.3994599706253,47.5653984444407,34.3994599706253,47.5653984444407,34.3904599706253
"potential_143",75,2,47.5563823244979,34.3917887866705,47.5563823244979,34.4007887866705,47.565382324497904,34.4007887866705,47.565382324497904,34.3917887866705
"potential_144",84,2,47.5563661891643,34.3931176015581,47.5563661891643,34.4021176015581,47.5653661891643,34.4021176015581,47.5653661891643,34.3931176015581
"potential_145",102,3,47.5563500384399,34.3944464152871,47.5563500384399,34.4034464152871,47.5653500384399,34.4034464152871,47.5653500384399,34.3944464152871
